Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,Item Barcode,barcodes,,~,Item Reorder,reorder_levels,,,,,~,UOM Conversion Detail,uoms,,~,Item Variant Attribute,attributes,,,,,,~,Item Default,item_defaults,,,,,,,,~,Item Supplier,supplier_items,,~,Item Customer Detail,customer_items,,,~,Item Tax,taxes,,~,Website Item Group,website_item_groups,~,Item Website Specification,website_specifications,
Column Labels:,ID,Series,Item Group,HSN/SAC,Default Unit of Measure,Variant Of,Item Name,Barcode,Is Item from Hub,Disabled,Allow Alternative Item,Maintain Stock,Allow Transfer for Manufacture,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Asset Category,Asset Naming Series,Allow over delivery or receipt upto this percent,Brand,Description,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Warranty Period (in days),Weight Per Unit,Weight UOM,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Has Variants,Variant Based On,Is Purchase Item,Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Lead Time in days,Last Purchase Rate,Delivered by Supplier (Drop Ship),Manufacturer,Manufacturer Part Number,Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Is Sales Item,Max Discount (%),Deferred Revenue Account,Enable Deferred Revenue,No of Months,Deferred Expense Account,Enable Deferred Expense,No of Months,Inspection Required before Purchase,Inspection Required before Delivery,Quality Inspection Template,Default BOM,Supply Raw Materials for Purchase,Show in Website,Show in Website (Variant),Route,Weightage,Slideshow,Image,Thumbnail,Website Warehouse,Website Description,Publish in Hub,Hub Category to Publish,Hub Warehouse,Synced With Hub,,ID,Barcode,Barcode Type,,ID,Request for,Re-order Level,Material Request Type,Check in (group),Re-order Qty,,ID,UOM,Conversion Factor,,ID,Attribute,Attribute Value,Numeric Values,From Range,Increment,To Range,,ID,Company,Default Warehouse,Default Price List,Default Buying Cost Center,Default Supplier,Default Expense Account,Default Selling Cost Center,Default Income Account,,ID,Supplier,Supplier Part Number,,ID,Ref Code,Customer Name,Customer Group,,ID,Tax,Tax Rate,,ID,Item Group,,ID,Label,Description
Column Name:,name,naming_series,item_group,gst_hsn_code,stock_uom,variant_of,item_name,barcode,is_item_from_hub,disabled,allow_alternative_item,is_stock_item,allow_transfer_for_manufacture,opening_stock,valuation_rate,standard_rate,is_fixed_asset,asset_category,asset_naming_series,tolerance,brand,description,shelf_life_in_days,end_of_life,default_material_request_type,valuation_method,warranty_period,weight_per_unit,weight_uom,has_batch_no,create_new_batch,batch_number_series,has_expiry_date,retain_sample,sample_quantity,has_serial_no,serial_no_series,has_variants,variant_based_on,is_purchase_item,purchase_uom,min_order_qty,safety_stock,lead_time_days,last_purchase_rate,delivered_by_supplier,manufacturer,manufacturer_part_no,country_of_origin,customs_tariff_number,sales_uom,is_sales_item,max_discount,deferred_revenue_account,enable_deferred_revenue,no_of_months,deferred_expense_account,enable_deferred_expense,no_of_months_exp,inspection_required_before_purchase,inspection_required_before_delivery,quality_inspection_template,default_bom,is_sub_contracted_item,show_in_website,show_variant_in_website,route,weightage,slideshow,website_image,thumbnail,website_warehouse,web_long_description,publish_in_hub,hub_category_to_publish,hub_warehouse,synced_with_hub,~,name,barcode,barcode_type,~,name,warehouse,warehouse_reorder_level,material_request_type,warehouse_group,warehouse_reorder_qty,~,name,uom,conversion_factor,~,name,attribute,attribute_value,numeric_values,from_range,increment,to_range,~,name,company,default_warehouse,default_price_list,buying_cost_center,default_supplier,expense_account,selling_cost_center,income_account,~,name,supplier,supplier_part_no,~,name,ref_code,customer_name,customer_group,~,name,tax_type,tax_rate,~,name,item_group,~,name,label,description
Mandatory:,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,No,,Yes,No,No,,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,,Yes,No,No,,Yes,Yes,No,No,,Yes,Yes,No,,Yes,Yes,,Yes,No,No
Type:,Data,Select,Link,Link,Link,Link,Data,Data,Check,Check,Check,Check,Check,Float,Currency,Currency,Check,Link,Select,Float,Link,Text Editor,Int,Date,Select,Select,Data,Float,Link,Check,Check,Data,Check,Check,Int,Check,Data,Check,Select,Check,Link,Float,Float,Int,Float,Check,Link,Data,Link,Link,Link,Check,Float,Link,Check,Int,Link,Check,Int,Check,Check,Link,Link,Check,Check,Check,Small Text,Int,Link,Attach,Data,Link,Text Editor,Check,Data,Link,Check,,Data,Data,Select,,Data,Link,Float,Select,Link,Float,,Data,Link,Float,,Data,Link,Data,Check,Float,Float,Float,,Data,Link,Link,Link,Link,Link,Link,Link,Link,,Data,Link,Data,,Data,Data,Link,Link,,Data,Link,Float,,Data,Link,,Data,Data,Text Editor
Info:,,One of: STO-ITEM-.YYYY.-,Valid Item Group,Valid GST HSN Code,Valid UOM,Valid Item,,,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,,,,0 or 1,Valid Asset Category,,,Valid Brand,,Integer,dd-mm-yyyy,"One of: Purchase, Material Transfer, Material Issue, Manufacture","One of: FIFO, Moving Average",,,Valid UOM,0 or 1,0 or 1,,0 or 1,0 or 1,Integer,0 or 1,,0 or 1,"One of: Item Attribute, Manufacturer",0 or 1,Valid UOM,,,Integer,,0 or 1,Valid Manufacturer,,Valid Country,Valid Customs Tariff Number,Valid UOM,0 or 1,,Valid Account,0 or 1,Integer,Valid Account,0 or 1,Integer,0 or 1,0 or 1,Valid Quality Inspection Template,Valid BOM,0 or 1,0 or 1,0 or 1,,Integer,Valid Website Slideshow,,,Valid Warehouse,,0 or 1,,Valid Warehouse,0 or 1,,,,"One of: EAN, UPC-A",,,Valid Warehouse,,"One of: Purchase, Transfer, Material Issue, Manufacture",Valid Warehouse,,,,Valid UOM,,,,Valid Item Attribute,,0 or 1,,,,,,Valid Company,Valid Warehouse,Valid Price List,Valid Cost Center,Valid Supplier,Valid Account,Valid Cost Center,Valid Account,,,Valid Supplier,,,,,Valid Customer,Valid Customer Group,,,Valid Account,,,,Valid Item Group,,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""10001""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,Nos,,GUARD SERVICES,,0,0,0,0,0,0,0,0,0,,,10000,,GUARD SERVICES,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,0,,0,0,0,0,0,,,India,,Day,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""0b2ade074a""",Hour,24,,,,,,,,,,"""df0fd6851a""",LMC Security Force pvt ltd.,,Customer wise price list 31 days,,,,,Sales - LMC,,,,,,"""b11da1bff2""",998525,aam services india pvt ltd,All Customer Groups,,"""5b600bb6a4""",CGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""b4d1dfd6cf""",Nos,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""661394dfe4""",SGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""bef11bdb44""",IGST - LMC,18,,,,,,,
,"""AC0003""",STO-ITEM-.YYYY.-,ACCESSORIES,998525,Nos,,ACCESSORIES Whistle,,0,0,0,1,1,375,7,10,0,,,0,,ACCESSORIES Whistle,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,,India,,,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""ee3d00d933""",Nos,1,,,,,,,,,,"""114d1c4c48""",LMC Security Force pvt ltd.,Stores - LMC,customer wise price list,,,,,Sales - LMC,,,,,,,,,,,,,,,,,,,,
,"""SG0007""",STO-ITEM-.YYYY.-,Consumable,998525,Nos,,SECURITY GUARD UNIFORM Size 40,,0,0,0,1,1,1,575,650,0,,,0,,SG0007,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,20,0,0,0,,,India,,,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""5c6a667b6b""",Nos,1,,,,,,,,,,"""6f65dc155e""",LMC Security Force pvt ltd.,Stores - LMC,Standard Buying,,,,,Sales - LMC,,,,,,,,,,,,,,,,,,,,
,"""AC0001""",STO-ITEM-.YYYY.-,ACCESSORIES,998525,Nos,,ACCESSORIES Security Guard Caps,,0,0,0,1,1,0,52,75,0,,,0,,ACCESSORIES Security Guard Caps,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,5,0,0,0,,,India,,,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""7d02139c7a""",Nos,1,,,,,,,,,,"""b096f41438""",LMC Security Force pvt ltd.,Stores - LMC,customer wise price list,,,,,Sales - LMC,,,,,,,,,,,,,,,,,,,,
,"""STO-ITEM-2018-00002""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,TDays,,T GUARD SERVICES,,0,0,0,0,0,0,0,0,0,,,10000,,T GUARD SERVICES,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,0,,0,0,0,0,0,,,India,,Day,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""94e35c34d5""",THRS,24,,,,,,,,,,"""ec075f04a9""",LMC Security Force pvt ltd.,Stores - LMC,Customer wise price list 31 days,,,,,Sales - LMC,,,,,,"""ed636e49bb""",998525,aam services india pvt ltd,All Customer Groups,,"""8fefe60388""",CGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""3ab6057790""",TDays,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""98e26085f6""",SGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""1554c0487e""",IGST - LMC,18,,,,,,,
,"""STO-ITEM-2018-00003""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,TDays,,T GUARD SERVICES 2,,0,0,0,0,0,0,0,0,0,,,10000,,T GUARD SERVICES 2,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,0,,0,0,0,0,0,,,India,,Day,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""0f61b304ed""",TDays,1,,,,,,,,,,"""e375bccae3""",LMC Security Force pvt ltd.,Stores - LMC,Customer wise price list 31 days,,,,,Sales - LMC,,,,,,"""b41fbb6848""",998525,aam services india pvt ltd,All Customer Groups,,"""1befc76363""",CGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""4da85a7987""",SGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""f2c93cd755""",IGST - LMC,18,,,,,,,
,"""STO-ITEM-2018-00001""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,TDays,,STO-ITEM-2018-00001,,0,0,0,0,1,0,0,0,0,,,0,,STO-ITEM-2018-00001,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,,India,,,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""a5ba992bf0""",TDays,1,,,,,,,,,,"""9aa8e5b5de""",LMC Security Force pvt ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""10005""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,Day,,SECURITY GUARD CHARGES,,0,0,0,0,1,0,0,0,0,,,0,,SECURITY GUARD CHARGES,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,,India,,,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""354db10c84""",Day,1,,,,,,,,,,"""fc4c3f25f9""",LMC Security Force pvt ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""10003""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,Day,,"W/B,COMP.OPER,H/G,DRIVER",,0,0,0,0,0,0,0,0,0,,,0,,10003,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,0,,0,0,0,0,0,,,India,,Day,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""2b68632807""",Day,1,,,,,,,,,,"""a848f4c180""",LMC Security Force pvt ltd.,Stores - LMC,Customer wise price list 31 days,,,,,Sales - LMC,,,,,,,,,,,"""d540d07d6c""",TDS Payable - LMC,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2b17beba37""",CGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""28055004f2""",SGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""03b5239c3c""",IGST - LMC,18,,,,,,,
,"""10004""",STO-ITEM-.YYYY.-,SERVICE ITEM,998525,Day,,CIVIL SEC SUPERVISOR,,0,0,0,0,0,0,0,0,0,,,0,,10004,0,31-12-2099,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,0,,0,0,0,0,0,,,India,,Day,1,0,,0,0,,0,0,0,0,,,0,0,0,,0,,,,,,0,,,0,,,,,,,,,,,,,"""95b7eea116""",Day,1,,,,,,,,,,"""5be38f5d6f""",LMC Security Force pvt ltd.,Stores - LMC,Customer wise price list 31 days,,,,,Sales - LMC,,,,,,,,,,,"""2f62921ac5""",TDS Payable - LMC,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""080fd5495b""",CGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6e01b01e7c""",SGST - LMC,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""c695316b85""",IGST - LMC,18,,,,,,,
